team,date,elo
Iran,2010-09-28,1615.7
Iraq,2010-09-29,1536.8
Iran,2010-10-01,1627.4
Iraq,2010-10-01,1525.1
Iran,2010-10-03,1608.7
Iran,2010-10-07,1592.8
Brazil,2010-10-07,1658.1
Bosnia and Herzegovina,2010-10-08,1490.7
Austria,2010-10-08,1526.1
Colombia,2010-10-08,1520.2
Ecuador,2010-10-08,1489.5
Norway,2010-10-08,1576.6
Czech Republic,2010-10-08,1502.7
Scotland,2010-10-08,1498.6
Germany,2010-10-08,1725.2
Turkey,2010-10-08,1570.9
Uruguay,2010-10-08,1617.4
Japan,2010-10-08,1544.2
Argentina,2010-10-08,1643.9
Belgium,2010-10-08,1499.7
Netherlands,2010-10-08,1717.1
Switzerland,2010-10-08,1439.4
Panama,2010-10-08,1530.3
Portugal,2010-10-08,1553.7
Spain,2010-10-08,1724.7
Canada,2010-10-08,1477.0
Australia,2010-10-09,1519.4
Paraguay,2010-10-09,1520.9
Ivory Coast,2010-10-09,1583.7
DR Congo,2010-10-09,1440.8
France,2010-10-09,1479.1
Croatia,2010-10-09,1588.5
New Zealand,2010-10-09,1485.6
Saudi Arabia,2010-10-09,1522.7
Uzbekistan,2010-10-09,1451.0
Senegal,2010-10-09,1564.1
Morocco,2010-10-09,1524.2
United States,2010-10-09,1476.4
Algeria,2010-10-10,1383.8
Ghana,2010-10-10,1576.3
Egypt,2010-10-10,1632.6
South Africa,2010-10-10,1534.1
Tunisia,2010-10-10,1540.4
Cape Verde,2010-10-10,1512.5
Brazil,2010-10-11,1668.1
Turkey,2010-10-12,1551.0
Uzbekistan,2010-10-12,1472.2
Belgium,2010-10-12,1495.5
Austria,2010-10-12,1530.3
Saudi Arabia,2010-10-12,1505.1
Uruguay,2010-10-12,1638.1
Croatia,2010-10-12,1595.4
Norway,2010-10-12,1569.7
Ecuador,2010-10-12,1489.7
England,2010-10-12,1564.5
France,2010-10-12,1496.2
Portugal,2010-10-12,1585.9
Germany,2010-10-12,1740.5
South Korea,2010-10-12,1504.7
Japan,2010-10-12,1546.0
Czech Republic,2010-10-12,1538.0
Mexico,2010-10-12,1533.0
Netherlands,2010-10-12,1732.4
Sweden,2010-10-12,1580.5
New Zealand,2010-10-12,1467.8
Paraguay,2010-10-12,1538.7
Panama,2010-10-12,1537.7
Qatar,2010-10-12,1470.9
Iraq,2010-10-12,1536.8
Saudi Arabia,2010-10-12,1516.0
Scotland,2010-10-12,1485.5
Spain,2010-10-12,1737.7
Switzerland,2010-10-12,1465.6
United States,2010-10-12,1474.8
Colombia,2010-10-12,1521.9
Curaçao,2010-10-13,1486.3
Curaçao,2010-10-15,1467.8
Curaçao,2010-10-17,1464.1
Panama,2010-10-26,1513.6
Curaçao,2010-10-29,1484.0
Curaçao,2010-10-31,1481.3
Haiti,2010-11-02,1495.0
Haiti,2010-11-06,1469.3
Iraq,2010-11-11,1548.6
Cape Verde,2010-11-16,1522.0
Jordan,2010-11-16,1508.6
Saudi Arabia,2010-11-16,1516.6
Scotland,2010-11-16,1494.1
Argentina,2010-11-17,1654.6
Brazil,2010-11-17,1657.4
Austria,2010-11-17,1516.7
Tunisia,2010-11-17,1528.5
Uruguay,2010-11-17,1623.1
Colombia,2010-11-17,1519.3
Croatia,2010-11-17,1606.4
Czech Republic,2010-11-17,1538.8
Ecuador,2010-11-17,1503.4
Egypt,2010-11-17,1640.6
Australia,2010-11-17,1511.4
England,2010-11-17,1550.0
France,2010-11-17,1510.7
Senegal,2010-11-17,1573.0
Paraguay,2010-11-17,1560.7
Iraq,2010-11-17,1549.0
Norway,2010-11-17,1580.9
Algeria,2010-11-17,1387.1
DR Congo,2010-11-17,1428.0
Netherlands,2010-11-17,1735.7
Turkey,2010-11-17,1547.7
Morocco,2010-11-17,1526.0
Panama,2010-11-17,1521.7
Ivory Coast,2010-11-17,1569.3
Portugal,2010-11-17,1607.4
Spain,2010-11-17,1716.2
Belgium,2010-11-17,1517.4
Saudi Arabia,2010-11-17,1518.3
Ghana,2010-11-17,1574.6
Bosnia and Herzegovina,2010-11-17,1503.4
South Africa,2010-11-17,1519.9
United States,2010-11-17,1489.1
Sweden,2010-11-17,1582.2
Germany,2010-11-17,1738.8
Switzerland,2010-11-17,1464.5
Qatar,2010-11-18,1458.0
Haiti,2010-11-18,1482.1
Qatar,2010-11-22,1447.4
Saudi Arabia,2010-11-22,1554.0
Iraq,2010-11-23,1547.6
Saudi Arabia,2010-11-25,1554.7
Qatar,2010-11-25,1467.8
Iraq,2010-11-26,1559.0
Qatar,2010-11-28,1471.4
Saudi Arabia,2010-11-28,1551.0
Iraq,2010-11-29,1555.3
Iraq,2010-12-02,1557.0
Saudi Arabia,2010-12-02,1565.3
Saudi Arabia,2010-12-05,1551.6
Bosnia and Herzegovina,2010-12-10,1503.6
Qatar,2010-12-16,1483.4
Egypt,2010-12-16,1628.6
Panama,2010-12-18,1512.0
Iraq,2010-12-18,1543.4
Qatar,2010-12-22,1493.7
Iraq,2010-12-22,1556.1
Uzbekistan,2010-12-25,1471.0
Jordan,2010-12-28,1496.5
Saudi Arabia,2010-12-28,1538.9
Iraq,2010-12-28,1568.7
South Korea,2010-12-30,1515.3
Qatar,2010-12-31,1479.5
Iran,2011-01-02,1599.7
Iraq,2011-01-02,1558.3
Jordan,2011-01-02,1495.8
Uzbekistan,2011-01-02,1471.8
Saudi Arabia,2011-01-04,1534.4
Egypt,2011-01-05,1638.3
Australia,2011-01-05,1514.7
Qatar,2011-01-07,1430.7
Uzbekistan,2011-01-07,1520.5
DR Congo,2011-01-08,1443.6
Egypt,2011-01-08,1647.3
Japan,2011-01-09,1542.4
Jordan,2011-01-09,1499.3
Saudi Arabia,2011-01-09,1507.3
Australia,2011-01-10,1549.5
South Korea,2011-01-10,1534.5
DR Congo,2011-01-11,1459.4
Egypt,2011-01-11,1656.8
Iraq,2011-01-11,1536.3
Iran,2011-01-11,1621.8
Qatar,2011-01-12,1476.5
Uzbekistan,2011-01-12,1549.8
Jordan,2011-01-13,1524.9
Saudi Arabia,2011-01-13,1481.7
Japan,2011-01-13,1566.6
Australia,2011-01-14,1548.4
South Korea,2011-01-14,1535.6
DR Congo,2011-01-14,1449.3
Egypt,2011-01-14,1664.2
Panama,2011-01-14,1526.7
Iran,2011-01-15,1636.4
Iraq,2011-01-15,1560.3
Uzbekistan,2011-01-16,1550.8
Panama,2011-01-16,1538.9
Qatar,2011-01-16,1517.1
DR Congo,2011-01-17,1463.0
Egypt,2011-01-17,1676.1
Jordan,2011-01-17,1548.6
Saudi Arabia,2011-01-17,1443.7
Japan,2011-01-17,1604.6
Australia,2011-01-18,1566.8
South Korea,2011-01-18,1557.7
Panama,2011-01-18,1553.1
Sweden,2011-01-19,1592.8
Iraq,2011-01-19,1577.9
Iran,2011-01-19,1663.6
Panama,2011-01-21,1546.8
Qatar,2011-01-21,1491.2
Japan,2011-01-21,1630.5
Uzbekistan,2011-01-21,1575.6
Jordan,2011-01-21,1523.8
Australia,2011-01-22,1592.6
Iraq,2011-01-22,1552.1
Iran,2011-01-22,1631.2
South Korea,2011-01-22,1590.1
United States,2011-01-22,1488.1
Panama,2011-01-23,1539.6
Japan,2011-01-25,1627.6
South Korea,2011-01-25,1593.0
Uzbekistan,2011-01-25,1525.1
Australia,2011-01-25,1643.1
Uzbekistan,2011-01-28,1504.9
South Korea,2011-01-28,1613.2
Australia,2011-01-29,1617.0
Japan,2011-01-29,1653.7
Sweden,2011-02-08,1613.6
Ghana,2011-02-08,1584.4
Ivory Coast,2011-02-08,1577.5
Panama,2011-02-08,1532.2
Argentina,2011-02-09,1663.2
Portugal,2011-02-09,1598.8
Belgium,2011-02-09,1513.5
Cape Verde,2011-02-09,1532.3
DR Congo,2011-02-09,1450.3
Croatia,2011-02-09,1614.7
Czech Republic,2011-02-09,1530.5
England,2011-02-09,1560.4
Haiti,2011-02-09,1474.7
France,2011-02-09,1522.0
Brazil,2011-02-09,1646.1
Germany,2011-02-09,1731.7
Canada,2011-02-09,1470.7
Ecuador,2011-02-09,1506.1
Iran,2011-02-09,1638.9
Switzerland,2011-02-09,1465.3
Mexico,2011-02-09,1546.7
Bosnia and Herzegovina,2011-02-09,1489.9
Morocco,2011-02-09,1538.0
Netherlands,2011-02-09,1739.8
Austria,2011-02-09,1512.6
Norway,2011-02-09,1569.3
Scotland,2011-02-09,1519.6
Senegal,2011-02-09,1584.9
South Africa,2011-02-09,1526.6
Spain,2011-02-09,1719.3
Colombia,2011-02-09,1516.2
Sweden,2011-02-09,1609.9
Turkey,2011-02-09,1546.7
South Korea,2011-02-09,1614.2
Argentina,2011-03-16,1669.1
Austria,2011-03-25,1474.2
Belgium,2011-03-25,1551.8
New Zealand,2011-03-25,1472.9
Uruguay,2011-03-25,1605.4
Netherlands,2011-03-25,1767.0
South Korea,2011-03-25,1622.6
France,2011-03-25,1550.9
Uzbekistan,2011-03-25,1498.9
Panama,2011-03-25,1540.6
Spain,2011-03-25,1725.6
Czech Republic,2011-03-25,1524.1
Bosnia and Herzegovina,2011-03-26,1503.1
Switzerland,2011-03-26,1470.9
Cape Verde,2011-03-26,1549.6
Colombia,2011-03-26,1530.8
Ecuador,2011-03-26,1491.5
Croatia,2011-03-26,1596.3
Germany,2011-03-26,1737.3
Jordan,2011-03-26,1523.4
Iraq,2011-03-26,1532.3
Mexico,2011-03-26,1562.3
Paraguay,2011-03-26,1545.1
Norway,2011-03-26,1558.3
Portugal,2011-03-26,1594.9
Senegal,2011-03-26,1594.2
South Africa,2011-03-26,1549.5
Egypt,2011-03-26,1653.2
United States,2011-03-26,1490.4
Argentina,2011-03-26,1666.8
England,2011-03-26,1586.1
Algeria,2011-03-27,1410.0
Morocco,2011-03-27,1515.1
Brazil,2011-03-27,1655.8
Scotland,2011-03-27,1509.9
Ghana,2011-03-27,1619.0
DR Congo,2011-03-27,1473.9
Ivory Coast,2011-03-27,1592.0
Canada,2011-03-29,1483.2
Belgium,2011-03-29,1570.1
Colombia,2011-03-29,1517.0
Argentina,2011-03-29,1664.6
Panama,2011-03-29,1561.2
Czech Republic,2011-03-29,1539.8
Ecuador,2011-03-29,1492.9
England,2011-03-29,1584.2
Ghana,2011-03-29,1620.9
France,2011-03-29,1549.3
Croatia,2011-03-29,1597.8
Germany,2011-03-29,1721.7
Australia,2011-03-29,1632.6
Uruguay,2011-03-29,1616.1
Jordan,2011-03-29,1521.5
Iraq,2011-03-29,1521.7
Spain,2011-03-29,1745.1
Mexico,2011-03-29,1560.6
Netherlands,2011-03-29,1773.9
Tunisia,2011-03-29,1519.8
Portugal,2011-03-29,1601.6
Qatar,2011-03-29,1489.8
Sweden,2011-03-29,1619.8
Turkey,2011-03-29,1563.0
Austria,2011-03-29,1458.0
United States,2011-03-29,1479.1
Paraguay,2011-03-29,1556.4
Argentina,2011-04-20,1658.0
Ecuador,2011-04-20,1499.5
South Africa,2011-05-14,1559.3
Argentina,2011-05-25,1665.2
Paraguay,2011-05-25,1549.2
Scotland,2011-05-25,1524.6
Mexico,2011-05-28,1558.8
Ecuador,2011-05-28,1501.2
Germany,2011-05-29,1726.4
Uruguay,2011-05-29,1611.4
Scotland,2011-05-29,1514.1
Panama,2011-05-29,1569.4
Tunisia,2011-05-29,1531.5
Canada,2011-06-01,1480.9
Ecuador,2011-06-01,1503.5
Japan,2011-06-01,1645.5
Mexico,2011-06-01,1572.1
New Zealand,2011-06-01,1459.7
Argentina,2011-06-01,1646.2
Uzbekistan,2011-06-01,1488.6
Austria,2011-06-03,1447.0
Germany,2011-06-03,1737.4
France,2011-06-03,1554.8
Belgium,2011-06-03,1564.2
Turkey,2011-06-03,1568.9
Croatia,2011-06-03,1609.4
South Korea,2011-06-03,1627.2
Sweden,2011-06-03,1653.4
Bosnia and Herzegovina,2011-06-03,1474.8
Ghana,2011-06-03,1631.1
Paraguay,2011-06-04,1572.5
Brazil,2011-06-04,1656.3
Netherlands,2011-06-04,1773.4
Senegal,2011-06-04,1592.7
England,2011-06-04,1573.2
Switzerland,2011-06-04,1481.9
Morocco,2011-06-04,1532.7
Algeria,2011-06-04,1392.4
Czech Republic,2011-06-04,1540.1
Portugal,2011-06-04,1613.7
Norway,2011-06-04,1546.1
United States,2011-06-04,1468.7
Spain,2011-06-04,1755.5
Australia,2011-06-05,1638.7
New Zealand,2011-06-05,1453.6
Ivory Coast,2011-06-05,1626.5
Uzbekistan,2011-06-05,1483.3
Egypt,2011-06-05,1643.1
South Africa,2011-06-05,1569.4
Cape Verde,2011-06-05,1530.2
DR Congo,2011-06-05,1495.9
Mexico,2011-06-05,1609.8
Argentina,2011-06-05,1635.5
Tunisia,2011-06-05,1548.6
France,2011-06-06,1575.6
Australia,2011-06-07,1632.8
Austria,2011-06-07,1457.1
Germany,2011-06-07,1751.7
Bosnia and Herzegovina,2011-06-07,1499.9
Brazil,2011-06-07,1660.0
Ecuador,2011-06-07,1504.7
Japan,2011-06-07,1637.5
Czech Republic,2011-06-07,1548.0
South Korea,2011-06-07,1634.5
Ghana,2011-06-07,1623.8
Norway,2011-06-07,1551.1
Panama,2011-06-07,1598.0
Paraguay,2011-06-07,1563.7
Sweden,2011-06-07,1667.8
United States,2011-06-07,1496.9
Canada,2011-06-07,1452.7
Spain,2011-06-07,1766.6
Uruguay,2011-06-08,1614.1
Netherlands,2011-06-08,1770.8
Mexico,2011-06-09,1644.0
France,2011-06-09,1587.3
Canada,2011-06-11,1487.1
Mexico,2011-06-11,1620.1
Paraguay,2011-06-11,1572.0
United States,2011-06-11,1472.0
Panama,2011-06-11,1622.9
Mexico,2011-06-12,1654.4
Canada,2011-06-14,1496.4
Panama,2011-06-14,1613.6
United States,2011-06-14,1495.9
Mexico,2011-06-18,1668.3
Panama,2011-06-19,1606.1
United States,2011-06-19,1540.0
Argentina,2011-06-20,1643.0
Mexico,2011-06-22,1689.9
United States,2011-06-22,1562.5
Panama,2011-06-22,1583.5
Uruguay,2011-06-23,1619.3
Paraguay,2011-06-23,1569.4
Colombia,2011-06-25,1530.9
Senegal,2011-06-25,1578.7
United States,2011-06-25,1528.0
Mexico,2011-06-25,1724.4
Mexico,2011-06-27,1727.8
Senegal,2011-06-28,1570.6
